序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
18,002445,中南文化,10.0,4.07,1831309648,9631170560.11,9672792671.52,19.357664108276367,83606115,094218,095115,6,8/6,1,通用设备
19,603803,瑞斯康达,9.966499328613281,13.13,1023640144,5578721103.410001,5578721037.76,18.736244201660156,32091033,094244,101614,3,7/4,1,通信设备
20,605058,澳弘电子,10.012399673461914,35.49,359213456,5072370985.5,5072370985.5,7.209508419036865,48337380,094341,110059,2,1/1,1,元件
21,603168,莎普爱思,10.014103889465332,7.8,231771070,2905609239.0,2918186793.6,8.119166374206543,68401920,094515,094515,0,1/1,1,化学制药
22,603601,再升科技,10.0,11.77,2414004080,13445353228.67,13445353287.52,18.19329071044922,118489767,094515,100657,3,1/1,1,专业工程
23,603098,森特股份,10.012674331665039,17.36,529513136,9353567618.08,9369191722.24,5.771444797515869,27128836,094648,103506,1,1/1,1,专业工程
24,603316,诚邦股份,10.0,16.39,306905808,4331286960.0,4331286960.0,7.25063943862915,53110156,094942,095727,1,1/1,1,基础建设
25,603912,佳力图,9.989258766174316,10.24,458886400,5548471459.84,5548471418.88,8.444404602050781,85286799,095104,095104,0,1/1,1,通用设备
26,300302,同有科技,20.009666442871094,24.83,1941236992,9157649012.849998,11900119955.359999,22.222042083740234,210133012,095321,100836,2,1/1,1,计算机设
27,603757,大元泵业,10.0045166015625,48.71,479740864,9086716985.89,9086716985.89,5.467665672302246,118146105,095816,095816,0,1/1,1,通用设备
28,000815,美利云,10.025062561035156,17.56,1335068640,12208818894.599998,12208818982.4,11.32656192779541,219400188,100306,100306,0,1/1,1,IT服务Ⅱ
29,001287,中电港,10.0,24.64,1030664128,10777400430.72,18723938365.44,9.765342712402344,147993531,100312,100312,0,1/1,1,其他电子
30,003018,金富科技,10.004034042358398,27.27,365518432,2671885284.75,7090200000.0,14.153376579284668,117116414,101645,101645,0,1/1,1,包装印刷
31,002913,奥士康,10.00216007232666,50.92,412221376,15361719440.880001,16159997271.04,2.7839670181274414,138463344,102012,102012,0,1/1,1,元件
32,000048,京基智农,10.020661354064941,21.3,292425472,11211458415.0,11295012052.800001,2.6866672039031982,158411997,102509,102509,0,1/1,1,养殖业
33,002667,威领股份,9.996517181396484,31.58,654031200,7472175380.0,8229479570.0,9.0737886428833,112797444,103757,103757,0,1/1,1,专用设备
34,002565,顺灏股份,9.97286319732666,16.21,4078031744,17181690975.620003,17182420522.88,24.783660888671875,176087025,104306,111130,1,2/2,2,包装印刷
35,301428,世纪恒通,19.993968963623047,39.79,742894176,2435015379.93,3925946679.93,32.377525329589844,89871842,110018,110018,0,1/1,1,通信服务
36,603052,可川科技,9.996535301208496,63.49,1056625008,11929598434.18,11929598434.18,9.311004638671875,26896713,110138,135929,2,3/2,1,消费电子
37,603687,大胜达,10.049751281738281,11.06,382957488,6083352415.84,6083352504.320001,6.516626834869385,74447072,111351,111351,0,1/1,1,包装印刷
38,600513,联环药业,9.980430603027344,22.48,329372944,6417056949.6,6417056994.56,5.345705509185791,117302865,111504,111504,0,1/1,1,化学制药
39,001389,广合科技,10.0,119.68,1056892096,18181419259.52,51037114726.4,6.03224515914917,127802681,111754,111754,0,1/1,1,元件
40,301306,西测测试,20.001829147338867,131.21,1677004336,7649543000.0,11074124000.0,23.6532039642334,94025086,111836,130027,1,1/1,1,军工电子
41,603881,数据港,9.9943208694458,38.74,2768963648,27829924941.260002,27829924670.08,10.223963737487793,322220221,130045,131215,2,1/1,1,通信服务
42,300571,平治信息,19.98638153076172,35.24,687533536,4075054047.0,4916977080.56,18.031831741333008,143194216,130315,130315,0,1/1,1,通信服务
43,603311,金海高科,9.974746704101562,17.42,190513619,4109097659.9400005,4109097659.9400005,4.7743401527404785,67101840,131416,131416,0,1/1,1,家电零部
44,688328,深科达,20.00478744506836,50.15,552911472,4736983194.25,4736983194.25,12.343547821044922,71135417,131644,131644,0,1/1,1,专用设备
45,603220,中贝通信,10.019960403442383,27.56,1470520992,11968215190.88,14781701051.519999,12.731568336486816,85569886,132157,133645,2,1/1,1,通信服务
46,603615,茶花股份,10.026385307312012,20.85,134958217,5041947000.0,5041947000.0,2.7782578468322754,25858170,132350,132350,0,1/1,1,家居用品
47,600602,云赛智联,10.024331092834473,22.61,2455705200,24289990603.899998,30923096840.16,10.46315860748291,106481795,132544,134156,2,1/1,1,软件开发
48,002432,九安医疗,10.0,59.95,2217902208,26282658937.15,27875298730.4,8.787406921386719,213423258,132618,132618,0,1/1,1,医疗器械
49,001400,江顺科技,9.997638702392578,139.73,294103088,2095949999.9999998,8383799999.999999,14.73666000366211,95631351,133706,133706,0,1/1,1,专用设备
50,603189,网达软件,10.027397155761719,20.08,367733040,5412530847.919999,5412530908.16,6.995150089263916,27089928,134021,134648,1,1/1,1,软件开发
51,603016,新宏泰,10.006353378295898,34.63,162804909,5130780800.0,5130780800.0,3.2862863540649414,23745791,135226,141502,3,1/1,1,电网设备
52,301128,强瑞技术,20.0,130.02,1684421952,11471840907.12,13449433925.400002,16.045808792114258,85185333,140809,140809,0,1/1,1,专用设备
53,603115,海星股份,10.003334045410156,32.99,320033072,7979964296.000001,7979964296.000001,4.223975658416748,89086196,141025,141025,0,1/1,1,元件
54,600590,泰豪科技,9.97150993347168,15.44,1409412256,13024713435.119999,13168308847.359999,11.425671577453613,193431733,143650,143650,0,1/1,1,军工电子
55,603618,杭电股份,10.021905899047852,20.09,1480982448,13889736125.44,13889736125.44,11.194405555725098,69200005,144016,144016,0,1/1,1,电网设备
56,301191,菲菱科思,19.996248245239258,127.94,828313040,6678261121.0199995,8871615480.0,13.596240997314453,71005420,145506,145506,0,1/1,1,通信设备
57,300042,朗科科技,20.0,61.08,2931913072,12239305074.0,12240432000.0,25.48843002319336,97148289,145512,145512,0,3/2,1,计算机设
